N_CLIENT,N_POLICE,N_SINISTRE,DATE_ACCIDENT,AGENCE,REGLEMENTS,SAP,TRANSACTION
1749272,1414077372,758000744,2025-08-06,Grombalia,26.432126626889666,0.0,N
1773752,1414194734,758000745,2025-08-07,Grombalia,111.2931647447986,0.0,N
1207552,1401407552,758000749,2025-08-07,Mahdia,38.785358765882464,0.0,N
893534,1401335188,758000750,2025-08-08,Ennasr,74.20440844591462,0.0,N
1213392,1401413392,758000766,2025-08-08,La Goulette,84.1373233993879,0.0,N
973350,1401813726,758000768,2025-08-08,Djerba 1,863.7190465885554,0.0,N
1706176,1414134872,758000771,2025-08-06,Nabeul 2,61.829535969332554,0.0,N
771772,1401295318,758000773,2025-08-05,Menzel Bourguiba,90.7598849970631,0.0,N
941368,1401619732,758000781,2025-08-04,Medjez El Bab,56.6562586947785,0.0,N
1752752,1414093260,758000788,2025-08-08,Kelibia,548.1188363681331,0.0,N
1335594,1401535594,758000790,2025-08-04,Mahdia,0.0,309.18354097752496,N
1215916,1414149536,758000791,2025-08-08,Zarzis 1,111.2931647447986,0.0,N
1417338,1401469280,758000804,2025-08-06,Nabeul 1,13.911645593099825,0.0,N
1534872,1400933296,758000809,2025-08-04,Bizerte,570.2003276965406,0.0,N
1357378,1414098894,758000816,2025-08-08,Djerba 1,139.11645593099826,0.0,N
1490728,1401615578,758000820,2025-08-09,Gabès 1,66.77589884687916,0.0,N
1721272,1414113328,758000825,2025-08-07,Mahdia,395.46171205985104,161.00411166414196,N
1721272,1414113328,758000825,2025-08-07,Mahdia,6182.9535969332555,0.0,N
1699546,1401979274,758000830,2025-08-08,Gabès 1,111.2931647447986,0.0,N
1735396,1401897288,758000834,2025-08-09,La Goulette,231.86075988499707,0.0,T
1757000,1414090680,758000837,2025-08-08,Bardo,54.56765696973444,0.0,N
1535486,1401551348,758000841,2025-08-07,Lac II,80.16446656567842,0.0,N
1291494,1401975172,758000847,2025-08-05,Bizerte,220.73144341051722,0.0,N
1678934,1401952194,758000851,2025-08-09,Djerba 2,75.19831823662165,0.0,N
953186,1401547750,758000854,2025-08-09,Boussalem,108.51083562617863,0.0,N
619154,1401313556,758000856,2025-08-09,Bizerte,111.2931647447986,0.0,N
1769474,1414114934,758000857,2025-08-04,El Menzah,0.0,336.1381271833555,N
1389288,1401589288,758000858,2025-08-09,Bizerte,92.62033573438032,0.0,N
1733000,1414153512,758000865,2025-08-09,Bizerte,82.88558444368876,0.0,N
1759166,1401867012,758000866,2025-08-09,Bizerte,135.74983769746808,0.0,N
1501294,1401741974,758000869,2025-08-08,Béja,55.6465823723993,0.0,N
1591896,1400191896,758000872,2025-08-09,Ain Zaghouan,20.630970414567038,0.0,N
1528080,1414096152,758000873,2025-08-09,Djerba 2,79.33842396512814,0.0,N
939270,1401973536,758000874,2025-08-09,Ariana,33.38825857111942,0.0,N
1553528,1401715360,758000878,2025-08-02,Gabès 1,117.47611834173185,0.0,N
994718,1401093080,758000880,2025-08-09,Sfax 5,55.6465823723993,0.0,N
1615996,1401953752,758000884,2025-08-04,Lac II,467.9552972454942,0.0,T
1340912,1401768774,758000887,2025-08-10,Bizerte,44.69811729062974,0.0,N
931460,1414075798,758000893,2025-08-05,Grombalia,111.2931647447986,0.0,N
1509394,1401916172,758000899,2025-08-06,Gabès 3,158.99836151729681,0.0,N
1331336,1401333510,758000902,2025-08-10,Ain Zaghouan,52.683401861069036,0.0,N
1555152,1401478810,758000903,2025-08-10,Gabès 1,36.17027854205954,0.0,N
1215368,1401598780,758000906,2025-08-09,Djerba 1,123.65907193866511,0.0,N
1727154,1414154914,758000908,2025-08-08,Gabès 2,60.96083098896343,0.0,N
1513268,1401268978,758000910,2025-08-09,Ain Zaghouan,105.98169845735309,0.0,N
1499314,1401721312,758000912,2025-08-09,El Jem,55.6465823723993,0.0,N
1775212,1414132954,758000919,2025-08-10,Grombalia,166.9397471171979,0.0,N
1508714,1401710992,758000921,2025-08-08,Ariana,139.11645593099826,0.0,N
897528,1414121348,758000925,2025-08-08,La Marsa,432.0793272946487,0.0,N
953986,1401521960,758000927,2025-08-10,Bizerte,97.57906451912079,0.0,N
1333926,1401217700,758000942,2025-08-10,Gabès 4,55.6465823723993,0.0,N
1609376,1414149346,758000948,2025-08-09,Gabès 1,102.94617738893871,0.0,N
1579720,1401775332,758000956,2025-08-10,Ain Zaghouan,42.750486907595764,0.0,N
