N_CLIENT,Segment_Label,CA_TOTAL,BONUS_MALUS_MOY,SCORE_RISQUE
1553554,Client Premium,1032.3,2.409090909090909,0.8592135455686548
1535492,Client Premium,1213.225,2.625,0.8587099213608437
1555534,Client Premium,1504.78,2.4,0.8583998587786885
1335134,Client Premium,985.239,2.0,0.8578749849763304
1533934,Client Premium,2786.641,2.269230769230769,0.8575120921263324
1553546,Client Premium,1379.408,2.6206896551724137,0.8571201954779041
1521534,Client Premium,1118.494,1.625,0.8568763290617467
1733554,Client Premium,1637.917,4.714285714285714,0.8567201054264598
1559334,Client Premium,1022.148,1.88,0.856037394126881
1273154,Client Premium,1094.702,1.818181818181818,0.8557563282555612
1313534,Client Premium,929.898,1.3666666666666667,0.8555632282243597
1755538,Client Premium,1479.575,4.64,0.8553935175119526
1395352,Client Premium,1178.49,1.2,0.855387692636159
1355554,Client Premium,973.95,1.56,0.8550486386984738
1349332,Client Premium,1013.25,2.391304347826087,0.8548820185864267
1753932,Client Premium,1575.069,3.210526315789474,0.8547268461666567
1593414,Client Premium,966.268,1.72,0.8545944675041761
1573532,Client Premium,1277.39,3.3181818181818183,0.8545011344592587
1349334,Client Premium,1455.825,2.45,0.854268253275035
1539358,Client Premium,946.331,2.260869565217391,0.8540852587773373
1273552,Client Premium,1510.32,1.565217391304348,0.8539260211278996
1559534,Client Premium,1041.825,2.952380952380953,0.8538517585382489
1541334,Client Premium,1351.145,3.272727272727273,0.8535920627171872
1333540,Client Premium,1238.8,2.789473684210526,0.8532672349409909
1555354,Client Premium,865.949,2.0434782608695654,0.8529916172328775
1375532,Client Premium,1261.625,2.4347826086956523,0.8529417023989652
1521334,Client Premium,1046.225,2.380952380952381,0.8528843687282537
1753332,Client Premium,1738.125,5.62962962962963,0.8528516022597197
1733534,Client Premium,1555.57,5.454545454545454,0.8526037736292098
1535734,Client Premium,1612.592,3.6666666666666665,0.8524672037512921
1753354,Client Premium,1982.873,3.590909090909091,0.8524426299476857
1353556,Client Premium,1304.696,2.4347826086956523,0.8520728838750459
1553734,Client Premium,1153.436,1.818181818181818,0.8519400715437152
1153732,Client Premium,1161.475,1.9523809523809523,0.8518694971591927
1372150,Client Premium,1754.022,1.7391304347826086,0.8517772096561861
1552752,Client Premium,992.713,1.9523809523809523,0.8511438443727755
1539394,Client Premium,733.936,2.1538461538461537,0.8508263693281062
1333534,Client Premium,1105.15,1.6956521739130437,0.8506687157704285
1675534,Client Premium,1757.39,5.954545454545454,0.8503016065926642
1392794,Client Premium,2240.1,2.4285714285714284,0.8502075593311146
1395336,Client Premium,1209.7,3.055555555555556,0.8500727635532368
1673354,Client Premium,1614.7759999999998,5.15,0.8500541182281495
1753532,Client Premium,1454.404,4.842105263157895,0.8499940084877751
1335514,Client Premium,1030.75,2.0,0.849919650967188
1537334,Client Premium,1387.135,3.583333333333333,0.8498819382810392
1334132,Client Premium,1072.25,2.45,0.8496061679448563
1339532,Client Premium,1102.65,1.8571428571428568,0.8494571707005346
1395154,Client Premium,1200.886,3.111111111111111,0.8493249917502237
1335336,Client Premium,1197.252,2.9,0.8492427597034006
1273332,Client Premium,966.535,1.7272727272727273,0.849155303318831
1535358,Client Premium,1217.66,2.789473684210526,0.849004712076544
1347354,Client Premium,860.513,2.363636363636364,0.8488683568956613
1559352,Client Premium,1147.06,1.818181818181818,0.8488216009074583
1393354,Client Premium,1230.2,3.15,0.8486287673129701
1735554,Client Premium,1164.423,4.315789473684211,0.848140633534205
1753554,Client Premium,1188.023,4.523809523809524,0.8473651509419899
1575534,Client Premium,1530.474,1.608695652173913,0.8470776702585882
1333320,Client Premium,829.735,3.3181818181818183,0.8470348036529223
1351352,Client Premium,837.336,2.2857142857142856,0.846742282246598
1533538,Client Premium,953.117,3.1,0.8467192109933872
1327314,Client Premium,1010.275,2.571428571428572,0.8467040158686079
1733334,Client Premium,1655.9,3.888888888888889,0.8466603402273276
1333272,Client Premium,853.4399999999999,2.909090909090909,0.8466071579567145
1533814,Client Premium,983.95,2.857142857142857,0.8464620249013655
1313272,Client Premium,960.645,2.65,0.8463624473558501
1335330,Client Premium,764.968,1.8888888888888888,0.846361665486578
1334754,Client Premium,1105.25,2.5294117647058822,0.8463037303420415
1357334,Client Premium,844.811,2.0,0.8462439229563619
1353952,Client Premium,1123.156,2.823529411764706,0.846193288257518
1735526,Client Premium,1449.75,4.666666666666667,0.8461351574965136
1334726,Client Premium,1121.69,3.388888888888889,0.8460361308605496
1559532,Client Premium,1303.9,2.5217391304347827,0.845991914421429
1531352,Client Premium,1259.185,4.055555555555555,0.8459126449394543
1732932,Client Premium,1108.005,4.476190476190476,0.8455667457989624
1332954,Client Premium,1034.437,1.5714285714285714,0.8455217760797699
1535552,Client Premium,996.888,2.4,0.8453553028240779
1755472,Client Premium,951.3,4.260869565217392,0.8452795026306461
1309534,Client Premium,1061.803,3.2222222222222223,0.8449558094641055
