N_CLIENT,CLUSTER_ID,Segment_Label,CA_TOTAL,PRIME_MOYENNE,NB_CONTRATS,AGE,BONUS_MALUS_MOY,NB_SINISTRES,TOTAL_REGLEMENTS,CAPITAUX_MOY
1207466,5,Client Premium,373.479,37.347899999999996,10,66.0,1.9,0.0,0.0,4260.0
1207468,1,Client Economique,119.0,29.75,4,63.0,1.0,0.0,0.0,375.0
1207472,5,Client Premium,350.3,35.03,10,60.0,2.4,0.0,0.0,2540.0
1207476,2,Autres Clients,163.94,27.323333333333334,6,50.5,2.3333333333333335,0.0,0.0,2000.0
1207480,2,Autres Clients,122.69,17.527142857142856,7,60.0,1.0,0.0,0.0,1342.857142857143
1207486,1,Client Economique,108.0,36.0,3,65.33333333333333,1.0,0.0,0.0,0.0
1207490,3,Client Grand Contrat,204.0,204.0,1,44.0,5.0,0.0,0.0,0.0
1207492,6,Client a Risque,112.0,37.333333333333336,3,46.0,1.0,0.0,0.0,2666.6666666666665
1207508,1,Client Economique,190.5,38.1,5,43.4,3.4,0.0,0.0,880.0
1207510,1,Client Economique,132.75,33.1875,4,64.75,2.5,0.0,0.0,2250.0
1207512,2,Autres Clients,20.0,20.0,1,59.0,1.0,0.0,0.0,0.0
1207520,1,Client Economique,240.0,40.0,6,66.0,2.6666666666666665,0.0,0.0,500.0
1207530,2,Autres Clients,59.0,29.5,2,46.0,1.0,1.0,536.2423099514639,0.0
1207532,5,Client Premium,573.275,47.77291666666667,12,61.833333333333336,3.25,0.0,0.0,2816.6666666666665
1207534,5,Client Premium,857.99,85.799,10,58.7,2.9,0.0,0.0,3100.0
1207536,1,Client Economique,97.0,19.4,5,44.4,4.0,0.0,0.0,2500.0
1207538,2,Autres Clients,52.0,17.333333333333332,3,72.66666666666667,1.0,0.0,0.0,1333.3333333333333
1207546,1,Client Economique,123.0,20.5,6,52.0,1.0,0.0,0.0,2500.0
1207550,1,Client Economique,256.295,36.61357142857143,7,71.42857142857143,1.8571428571428572,0.0,0.0,5571.428571428572
1207552,1,Client Economique,327.25,46.75,7,67.0,1.8571428571428572,1.0,38.785358765882464,142.85714285714286
1207566,1,Client Economique,79.25,26.416666666666668,3,52.666666666666664,1.0,0.0,0.0,333.3333333333333
1207570,1,Client Economique,172.995,34.599000000000004,5,51.6,4.0,1.0,94.73243268309272,3600.0
1207580,5,Client Premium,358.63,44.82875,8,53.125,3.75,0.0,0.0,3250.0
1207586,1,Client Economique,80.0,26.666666666666668,3,62.333333333333336,1.0,0.0,0.0,0.0
1207590,6,Client a Risque,174.2,87.1,2,58.0,1.0,0.0,0.0,0.0
1207596,1,Client Economique,79.0,26.333333333333332,3,67.66666666666667,1.0,0.0,0.0,266.6666666666667
1207610,2,Autres Clients,88.0,88.0,1,41.0,2.0,0.0,0.0,0.0
1207612,1,Client Economique,242.72,30.34,8,68.0,1.0,0.0,0.0,3675.0
1207618,1,Client Economique,126.63,31.6575,4,74.5,1.0,0.0,0.0,4250.0
1207678,6,Client a Risque,84.5,28.166666666666668,3,51.0,1.0,0.0,0.0,333.3333333333333
1207694,6,Client a Risque,167.10399999999998,83.55199999999999,2,63.0,4.0,0.0,0.0,4000.0
1207710,1,Client Economique,136.286,22.714333333333332,6,67.66666666666667,1.0,0.0,0.0,1916.6666666666667
1207736,2,Autres Clients,141.5,28.3,5,43.4,2.6,0.0,0.0,300.0
1207740,7,Client Jeune Conducteur,281.25,56.25,5,70.4,8.0,0.0,0.0,4000.0
1207752,6,Client a Risque,98.0,98.0,1,50.0,1.0,0.0,0.0,0.0
1207754,1,Client Economique,290.25,36.28125,8,69.625,3.25,1.0,280.5607938912419,6125.0
1207758,1,Client Economique,114.688,28.672,4,68.75,1.75,0.0,0.0,3125.0
1207760,6,Client a Risque,116.5,58.25,2,50.0,2.0,0.0,0.0,500.0
1207772,1,Client Economique,49.0,49.0,1,64.0,1.0,0.0,0.0,0.0
1207778,1,Client Economique,93.5,23.375,4,61.75,1.0,0.0,0.0,1000.0
1207786,4,Client Capital Eleve,454.501,227.2505,2,54.0,3.0,0.0,0.0,53000.25
1207792,2,Autres Clients,103.5,51.75,2,61.0,1.0,0.0,0.0,3000.0
1207866,3,Client Grand Contrat,204.0,204.0,1,65.0,5.0,0.0,0.0,0.0
1207888,1,Client Economique,123.0,30.75,4,65.5,1.0,0.0,0.0,1000.0
1207890,7,Client Jeune Conducteur,412.0,137.33333333333334,3,51.666666666666664,5.0,0.0,0.0,0.0
1207908,2,Autres Clients,91.25,18.25,5,67.4,1.0,0.0,0.0,1080.0
1207912,1,Client Economique,142.25,20.321428571428573,7,63.857142857142854,1.0,0.0,0.0,428.57142857142856
1207920,1,Client Economique,92.0,30.666666666666668,3,72.33333333333333,1.0,0.0,0.0,133.33333333333334
1207928,1,Client Economique,232.25,33.17857142857143,7,61.57142857142857,3.0,1.0,83.46987355859895,142.85714285714286
1207932,6,Client a Risque,208.0,41.6,5,58.0,1.0,1.0,86.08526293010172,400.0
1207934,5,Client Premium,364.875,30.40625,12,55.0,1.6666666666666667,0.0,0.0,1250.0
1207936,2,Autres Clients,110.75,27.6875,4,45.0,3.0,0.0,0.0,125.0
1207940,2,Autres Clients,168.0,84.0,2,67.0,5.0,1.0,0.0,0.0
1207948,1,Client Economique,91.5,30.5,3,72.66666666666667,1.0,0.0,0.0,133.33333333333334
1207952,2,Autres Clients,291.16,145.58,2,59.0,3.0,0.0,0.0,3000.0
1207954,5,Client Premium,432.544,43.2544,10,64.2,3.0,0.0,0.0,2825.0
1207972,6,Client a Risque,142.25,47.416666666666664,3,51.333333333333336,4.0,1.0,64.2718026401212,333.3333333333333
1207974,1,Client Economique,167.49,27.915000000000003,6,63.166666666666664,2.6666666666666665,1.0,4022.365288898507,4500.0
1207994,1,Client Economique,364.61,60.76833333333334,6,53.833333333333336,1.0,0.0,0.0,1400.0
1207996,2,Autres Clients,10.0,10.0,1,69.0,1.0,0.0,0.0,0.0
1208000,1,Client Economique,59.75,19.916666666666668,3,60.0,2.0,0.0,0.0,333.3333333333333
1208018,6,Client a Risque,307.0,102.33333333333333,3,65.33333333333333,3.3333333333333335,0.0,0.0,0.0
1208072,1,Client Economique,111.0,55.5,2,60.0,2.0,0.0,0.0,1000.0
1208074,6,Client a Risque,118.5,39.5,3,60.666666666666664,1.3333333333333333,0.0,0.0,3333.3333333333335
1208090,6,Client a Risque,118.0,59.0,2,66.0,1.0,0.0,0.0,0.0
1208100,1,Client Economique,167.87,41.9675,4,73.25,1.0,0.0,0.0,3625.0
1208106,6,Client a Risque,153.0,76.5,2,63.0,1.0,0.0,0.0,500.0
1208108,1,Client Economique,184.0,36.8,5,64.4,1.0,0.0,0.0,0.0
1208118,1,Client Economique,83.0,16.6,5,53.6,1.0,0.0,0.0,400.0
1208128,2,Autres Clients,240.0,120.0,2,45.0,4.0,0.0,0.0,0.0
1208130,6,Client a Risque,240.3,120.15,2,58.5,1.5,0.0,0.0,500.0
